,Question,Answer
57,Is Python a good language for beginning programmers?,"Yes. It is still common to start students with a procedural and statically typed language such as Pascal, C, or a subset of C++ or Java. Students may be better served by learning Python as their first language. Python has a very simple and consistent syntax and a large standard library and, most importantly, using Python in a beginning programming course lets students concentrate on important programming skills such as problem decomposition and data type design. With Python, students can be quickly introduced to basic concepts such as loops and procedures. They can probably even work with user-defined objects in their very first course. For a student who has never programmed before, using a statically typed language seems unnatural. It presents additional complexity that the student must master and slows the pace of the course. The students are trying to learn to think like a computer, decompose problems, design consistent interfaces, and encapsulate data. While learning to use a statically typed language is important in the long term, it is not necessarily the best topic to address in the students?? first programming course. Many other aspects of Python make it a good first language. Like Java, Python has a large standard library so that students can be assigned programming projects very early in the course that do something. Assignments aren??t restricted to the standard four-function calculator and check balancing programs. By using the standard library, students can gain the satisfaction of working on realistic applications as they learn the fundamentals of programming. Using the standard library also teaches students about code reuse. Third-party modules such as PyGame are also helpful in extending the students?? reach. Python??s interactive interpreter enables students to test language features while they??re programming. They can keep a window with the interpreter running while they enter their program??s source in another window. If they can??t remember the methods for a list, they can do something like this: L = [] dir(L) ['__add__', '__class__', '__contains__', '__delattr__', '__delitem__', '__dir__', '__doc__', '__eq__', '__format__', '__ge__', '__getattribute__', '__getitem__', '__gt__', '__hash__', '__iadd__', '__imul__', '__init__', '__iter__', '__le__', '__len__', '__lt__', '__mul__', '__ne__', '__new__', '__reduce__', '__reduce_ex__', '__repr__', '__reversed__', '__rmul__', '__setattr__', '__setitem__', '__sizeof__', '__str__', '__subclasshook__', 'append', 'clear', 'copy', 'count', 'extend', 'index', 'insert', 'pop', 'remove', 'reverse', 'sort'] [d for d in dir(L) if '__' not in d] ['append', 'clear', 'copy', 'count', 'extend', 'index', 'insert', 'pop', 'remove', 'reverse', 'sort'] help(L.append) Help on built-in function append: append(...) L.append(object) -> None -- append object to end L.append(1) L [1] With the interpreter, documentation is never far from the student as they are programming. There are also good IDEs for Python. IDLE is a cross-platform IDE for Python that is written in Python using Tkinter. Emacs users will be happy to know that there is a very good Python mode for Emacs. All of these programming environments provide syntax highlighting, auto-indenting, and access to the interactive interpreter while coding. Consult the Python wiki for a full list of Python editing environments. If you want to discuss Python??s use in education, you may be interested in joining the edu-sig mailing list."
58,What GUI toolkits exist for Python?,Tkinter questions
59,Can I have Tk events handled while waiting for I/O?,I can??t get key bindings to work in Tkinter: why? General GUI Questions
60,What GUI toolkits exist for Python?,"Standard builds of Python include an object-oriented interface to the Tcl/Tk widget set, called tkinter. This is probably the easiest to install (since it comes included with most binary distributions of Python) and use. For more info about Tk, including pointers to the source, see the Tcl/Tk home page. Tcl/Tk is fully portable to the macOS, Windows, and Unix platforms. Depending on what platform(s) you are aiming at, there are also several alternatives. A list of cross-platform and platform-specific GUI frameworks can be found on the python wiki. Tkinter questions"
61,How do I freeze Tkinter applications?,"Freeze is a tool to create stand-alone applications. When freezing Tkinter applications, the applications will not be truly stand-alone, as the application will still need the Tcl and Tk libraries. One solution is to ship the application with the Tcl and Tk libraries, and point to them at run-time using the TCL_LIBRARY and TK_LIBRARY environment variables. Various third-party freeze libraries such as py2exe and cx_Freeze have handling for Tkinter applications built-in."
62,Can I have Tk events handled while waiting for I/O?,"On platforms other than Windows, yes, and you don??t even need threads! But you??ll have to restructure your I/O code a bit. Tk has the equivalent of Xt??s XtAddInput() call, which allows you to register a callback function which will be called from the Tk mainloop when I/O is possible on a file descriptor. See File Handlers. I can??t get key bindings to work in Tkinter: why? An often-heard complaint is that event handlers bound to events with the bind() method don??t get handled even when the appropriate key is pressed. The most common cause is that the widget to which the binding applies doesn??t have ??keyboard focus?. Check out the Tk documentation for the focus command. Usually a widget is given the keyboard focus by clicking in it (but not for labels; see the takefocus option)."
63,How do I find a module or application to perform task X?,"Check the Library Reference to see if there??s a relevant standard library module. (Eventually you??ll learn what??s in the standard library and will be able to skip this step.) For third-party packages, search the Python Package Index or try Google or another web search engine. Searching for ??Python? plus a keyword or two for your topic of interest will usually find something helpful. Where is the math.py (socket.py, regex.py, etc.) source file? If you can??t find a source file for a module it may be a built-in or dynamically loaded module implemented in C, C++ or other compiled language. In this case you may not have the source file or it may be something like mathmodule.c, somewhere in a C source directory (not on the Python Path). There are (at least) three kinds of modules in Python: modules written in Python (.py); modules written in C and dynamically loaded (.dll, .pyd, .so, .sl, etc); modules written in C and linked with the interpreter; to get a list of these, type: import sys print(sys.builtin_module_names)"
64,How do I make a Python script executable on Unix?,"You need to do two things: the script file??s mode must be executable and the first line must begin with #! followed by the path of the Python interpreter. The first is done by executing chmod +x scriptfile or perhaps chmod 755 scriptfile. The second can be done in a number of ways. The most straightforward way is to write #!/usr/local/bin/python as the very first line of your file, using the pathname for where the Python interpreter is installed on your platform. If you would like the script to be independent of where the Python interpreter lives, you can use the env program. Almost all Unix variants support the following, assuming the Python interpreter is in a directory on the user??s PATH: #!/usr/bin/env python Don??t do this for CGI scripts. The PATH variable for CGI scripts is often very minimal, so you need to use the actual absolute pathname of the interpreter. Occasionally, a user??s environment is so full that the /usr/bin/env program fails; or there??s no env program at all. In that case, you can try the following hack (due to Alex Rezinsky): #! /bin/sh """""":"" exec python $0 ${1+""$@""} """""" The minor disadvantage is that this defines the script??s __doc__ string. However, you can fix that by adding __doc__ = """"""...Whatever..."""""""
65,Is there a curses/termcap package for Python?,"For Unix variants: The standard Python source distribution comes with a curses module in the Modules subdirectory, though it??s not compiled by default. (Note that this is not available in the Windows distribution ?? there is no curses module for Windows.) The curses module supports basic curses features as well as many additional functions from ncurses and SYSV curses such as colour, alternative character set support, pads, and mouse support. This means the module isn??t compatible with operating systems that only have BSD curses, but there don??t seem to be any currently maintained OSes that fall into this category."
66,Is there an equivalent to C??s onexit() in Python?,The atexit module provides a register function that is similar to C??s onexit().
67,Why don??t my signal handlers work?,"The most common problem is that the signal handler is declared with the wrong argument list. It is called as handler(signum, frame) so it should be declared with two parameters: def handler(signum, frame): ... Common tasks"
68,How do I test a Python program or component?,"Python comes with two testing frameworks. The doctest module finds examples in the docstrings for a module and runs them, comparing the output with the expected output given in the docstring. The unittest module is a fancier testing framework modelled on Java and Smalltalk testing frameworks. To make testing easier, you should use good modular design in your program. Your program should have almost all functionality encapsulated in either functions or class methods ?? and this sometimes has the surprising and delightful effect of making the program run faster (because local variable accesses are faster than global accesses). Furthermore the program should avoid depending on mutating global variables, since this makes testing much more difficult to do. The ??global main logic? of your program may be as simple as if __name__ == ""__main__"": main_logic() at the bottom of the main module of your program. Once your program is organized as a tractable collection of function and class behaviours, you should write test functions that exercise the behaviours. A test suite that automates a sequence of tests can be associated with each module. This sounds like a lot of work, but since Python is so terse and flexible it??s surprisingly easy. You can make coding much more pleasant and fun by writing your test functions in parallel with the ??production code?, since this makes it easy to find bugs and even design flaws earlier. ??Support modules? that are not intended to be the main module of a program may include a self-test of the module. if __name__ == ""__main__"": self_test() Even programs that interact with complex external interfaces may be tested when the external interfaces are unavailable by using ??fake? interfaces implemented in Python."
69,How do I create documentation from doc strings?,The pydoc module can create HTML from the doc strings in your Python source code. An alternative for creating API documentation purely from docstrings is epydoc. Sphinx can also include docstring content.
70,How do I get a single keypress at a time?,"For Unix variants there are several solutions. It??s straightforward to do this using curses, but curses is a fairly large module to learn. Threads"
71,How do I program using threads?,"Be sure to use the threading module and not the _thread module. The threading module builds convenient abstractions on top of the low-level primitives provided by the _thread module. None of my threads seem to run: why? As soon as the main thread exits, all threads are killed. Your main thread is running too quickly, giving the threads no time to do any work. A simple fix is to add a sleep to the end of the program that??s long enough for all the threads to finish: import threading, time def thread_task(name, n): for i in range(n): print(name, i) for i in range(10): T = threading.Thread(target=thread_task, args=(str(i), i)) T.start() time.sleep(10)  # <---------------------------! But now (on many platforms) the threads don??t run in parallel, but appear to run sequentially, one at a time! The reason is that the OS thread scheduler doesn??t start a new thread until the previous thread is blocked. A simple fix is to add a tiny sleep to the start of the run function: def thread_task(name, n): time.sleep(0.001)  # <--------------------! for i in range(n): print(name, i) for i in range(10): T = threading.Thread(target=thread_task, args=(str(i), i)) T.start() time.sleep(10) Instead of trying to guess a good delay value for time.sleep(), it??s better to use some kind of semaphore mechanism. One idea is to use the queue module to create a queue object, let each thread append a token to the queue when it finishes, and let the main thread read as many tokens from the queue as there are threads."
72,How do I parcel out work among a bunch of worker threads?,"The easiest way is to use the concurrent.futures module, especially the ThreadPoolExecutor class. Or, if you want fine control over the dispatching algorithm, you can write your own logic manually. Use the queue module to create a queue containing a list of jobs. The Queue class maintains a list of objects and has a .put(obj) method that adds items to the queue and a .get() method to return them. The class will take care of the locking necessary to ensure that each job is handed out exactly once. Here??s a trivial example: import threading, queue, time # The worker thread gets jobs off the queue.  When the queue is empty, it # assumes there will be no more work and exits. # (Realistically workers will run until terminated.) def worker(): print('Running worker') time.sleep(0.1) while True: try: arg = q.get(block=False) except queue.Empty: print('Worker', threading.current_thread(), end=' ') print('queue empty') break else: print('Worker', threading.current_thread(), end=' ') print('running with argument', arg) time.sleep(0.5) # Create queue q = queue.Queue() # Start a pool of 5 workers for i in range(5): t = threading.Thread(target=worker, name='worker %i' % (i+1)) t.start() # Begin adding work to the queue for i in range(50): q.put(i) # Give threads time to run print('Main thread sleeping') time.sleep(5) When run, this will produce the following output: Running worker Running worker Running worker Running worker Running worker Main thread sleeping Worker <Thread(worker 1, started 130283832797456)> running with argument 0 Worker <Thread(worker 2, started 130283824404752)> running with argument 1 Worker <Thread(worker 3, started 130283816012048)> running with argument 2 Worker <Thread(worker 4, started 130283807619344)> running with argument 3 Worker <Thread(worker 5, started 130283799226640)> running with argument 4 Worker <Thread(worker 1, started 130283832797456)> running with argument 5 ... Consult the module??s documentation for more details; the Queue class provides a featureful interface."
73,What kinds of global value mutation are thread-safe?,"A global interpreter lock (GIL) is used internally to ensure that only one thread runs in the Python VM at a time. In general, Python offers to switch among threads only between bytecode instructions; how frequently it switches can be set via sys.setswitchinterval(). Each bytecode instruction and therefore all the C implementation code reached from each instruction is therefore atomic from the point of view of a Python program. In theory, this means an exact accounting requires an exact understanding of the PVM bytecode implementation. In practice, it means that operations on shared variables of built-in data types (ints, lists, dicts, etc) that ??look atomic? really are. For example, the following operations are all atomic (L, L1, L2 are lists, D, D1, D2 are dicts, x, y are objects, i, j are ints): L.append(x) L1.extend(L2) x = L[i] x = L.pop() L1[i:j] = L2 L.sort() x = y x.field = y D[x] = y D1.update(D2) D.keys() These aren??t: i = i+1 L.append(L[-1]) L[i] = L[j] D[x] = D[x] + 1 Operations that replace other objects may invoke those other objects?? __del__() method when their reference count reaches zero, and that can affect things. This is especially true for the mass updates to dictionaries and lists. When in doubt, use a mutex!"
74,Can??t we get rid of the Global Interpreter Lock?,"The global interpreter lock (GIL) is often seen as a hindrance to Python??s deployment on high-end multiprocessor server machines, because a multi-threaded Python program effectively only uses one CPU, due to the insistence that (almost) all Python code can only run while the GIL is held. With the approval of PEP 703 work is now underway to remove the GIL from the CPython implementation of Python. Initially it will be implemented as an optional compiler flag when building the interpreter, and so separate builds will be available with and without the GIL. Long-term, the hope is to settle on a single build, once the performance implications of removing the GIL are fully understood. Python 3.13 is likely to be the first release containing this work, although it may not be completely functional in this release. The current work to remove the GIL is based on a fork of Python 3.9 with the GIL removed by Sam Gross. Prior to that, in the days of Python 1.5, Greg Stein actually implemented a comprehensive patch set (the ??free threading? patches) that removed the GIL and replaced it with fine-grained locking. Adam Olsen did a similar experiment in his python-safethread project. Unfortunately, both of these earlier experiments exhibited a sharp drop in single-thread performance (at least 30% slower), due to the amount of fine-grained locking necessary to compensate for the removal of the GIL. The Python 3.9 fork is the first attempt at removing the GIL with an acceptable performance impact. The presence of the GIL in current Python releases doesn??t mean that you can??t make good use of Python on multi-CPU machines! You just have to be creative with dividing the work up between multiple processes rather than multiple threads. The ProcessPoolExecutor class in the new concurrent.futures module provides an easy way of doing so; the multiprocessing module provides a lower-level API in case you want more control over dispatching of tasks. Judicious use of C extensions will also help; if you use a C extension to perform a time-consuming task, the extension can release the GIL while the thread of execution is in the C code and allow other threads to get some work done. Some standard library modules such as zlib and hashlib already do this. An alternative approach to reducing the impact of the GIL is to make the GIL a per-interpreter-state lock rather than truly global. This was first implemented in Python 3.12 and is available in the C API. A Python interface to it is expected in Python 3.13. The main limitation to it at the moment is likely to be 3rd party extension modules, since these must be written with multiple interpreters in mind in order to be usable, so many older extension modules will not be usable. Input and Output"
75,How do I delete a file? (And other file questions??),"Use os.remove(filename) or os.unlink(filename); for documentation, see the os module. The two functions are identical; unlink() is simply the name of the Unix system call for this function. To remove a directory, use os.rmdir(); use os.mkdir() to create one. os.makedirs(path) will create any intermediate directories in path that don??t exist. os.removedirs(path) will remove intermediate directories as long as they??re empty; if you want to delete an entire directory tree and its contents, use shutil.rmtree(). To rename a file, use os.rename(old_path, new_path). To truncate a file, open it using f = open(filename, ""rb+""), and use f.truncate(offset); offset defaults to the current seek position. There??s also os.ftruncate(fd, offset) for files opened with os.open(), where fd is the file descriptor (a small integer). The shutil module also contains a number of functions to work on files including copyfile(), copytree(), and rmtree()."
76,How do I copy a file?,"The shutil module contains a copyfile() function. Note that on Windows NTFS volumes, it does not copy alternate data streams nor resource forks on macOS HFS+ volumes, though both are now rarely used. It also doesn??t copy file permissions and metadata, though using shutil.copy2() instead will preserve most (though not all) of it."
77,How do I read (or write) binary data?,"To read or write complex binary data formats, it??s best to use the struct module. It allows you to take a string containing binary data (usually numbers) and convert it to Python objects; and vice versa. For example, the following code reads two 2-byte integers and one 4-byte integer in big-endian format from a file: import struct with open(filename, ""rb"") as f: s = f.read(8) x, y, z = struct.unpack("">hhl"", s) The ??>?? in the format string forces big-endian data; the letter ??h?? reads one ??short integer? (2 bytes), and ??l?? reads one ??long integer? (4 bytes) from the string. For data that is more regular (e.g. a homogeneous list of ints or floats), you can also use the array module. Note To read and write binary data, it is mandatory to open the file in binary mode (here, passing ""rb"" to open()). If you use ""r"" instead (the default), the file will be open in text mode and f.read() will return str objects rather than bytes objects. I can??t seem to use os.read() on a pipe created with os.popen(); why? os.read() is a low-level function which takes a file descriptor, a small integer representing the opened file. os.popen() creates a high-level file object, the same type returned by the built-in open() function. Thus, to read n bytes from a pipe p created with os.popen(), you need to use p.read(n)."
78,How do I access the serial (RS232) port?,"For Win32, OSX, Linux, BSD, Jython, IronPython: pyserial For Unix, see a Usenet post by Mitch Chapman: https://groups.google.com/groups?selm=34A04430.CF9@ohioee.com"
79,"Why doesn??t closing sys.stdout (stdin, stderr) really close it?","Python file objects are a high-level layer of abstraction on low-level C file descriptors. For most file objects you create in Python via the built-in open() function, f.close() marks the Python file object as being closed from Python??s point of view, and also arranges to close the underlying C file descriptor. This also happens automatically in f??s destructor, when f becomes garbage. But stdin, stdout and stderr are treated specially by Python, because of the special status also given to them by C. Running sys.stdout.close() marks the Python-level file object as being closed, but does not close the associated C file descriptor. To close the underlying C file descriptor for one of these three, you should first be sure that??s what you really want to do (e.g., you may confuse extension modules trying to do I/O). If it is, use os.close(): os.close(stdin.fileno()) os.close(stdout.fileno()) os.close(stderr.fileno()) Or you can use the numeric constants 0, 1 and 2, respectively. Network/Internet Programming"
80,What WWW tools are there for Python?,See the chapters titled Internet Protocols and Support and Internet Data Handling in the Library Reference Manual. Python has many modules that will help you build server-side and client-side web systems. A summary of available frameworks is maintained by Paul Boddie at https://wiki.python.org/moin/WebProgramming.
81,What module should I use to help with generating HTML?,You can find a collection of useful links on the Web Programming wiki page.
82,How do I send mail from a Python script?,"Use the standard library module smtplib. Here??s a very simple interactive mail sender that uses it. This method will work on any host that supports an SMTP listener. import sys, smtplib fromaddr = input(""From: "") toaddrs  = input(""To: "").split(',') print(""Enter message, end with ^D:"") msg = '' while True: line = sys.stdin.readline() if not line: break msg += line # The actual mail send server = smtplib.SMTP('localhost') server.sendmail(fromaddr, toaddrs, msg) server.quit() A Unix-only alternative uses sendmail. The location of the sendmail program varies between systems; sometimes it is /usr/lib/sendmail, sometimes /usr/sbin/sendmail. The sendmail manual page will help you out. Here??s some sample code: import os SENDMAIL = ""/usr/sbin/sendmail""  # sendmail location p = os.popen(""%s -t -i"" % SENDMAIL, ""w"") p.write(""To: receiver@example.com\n"") p.write(""Subject: test\n"") p.write(""\n"")  # blank line separating headers from body p.write(""Some text\n"") p.write(""some more text\n"") sts = p.close() if sts != 0: print(""Sendmail exit status"", sts)"
83,How do I avoid blocking in the connect() method of a socket?,"The select module is commonly used to help with asynchronous I/O on sockets. To prevent the TCP connect from blocking, you can set the socket to non-blocking mode. Then when you do the connect(), you will either connect immediately (unlikely) or get an exception that contains the error number as .errno. errno.EINPROGRESS indicates that the connection is in progress, but hasn??t finished yet. Different OSes will return different values, so you??re going to have to check what??s returned on your system. You can use the connect_ex() method to avoid creating an exception. It will just return the errno value. To poll, you can call connect_ex() again later ?? 0 or errno.EISCONN indicate that you??re connected ?? or you can pass this socket to select.select() to check if it??s writable. Note The asyncio module provides a general purpose single-threaded and concurrent asynchronous library, which can be used for writing non-blocking network code. The third-party Twisted library is a popular and feature-rich alternative. Databases Are there any interfaces to database packages in Python? Yes. Interfaces to disk-based hashes such as DBM and GDBM are also included with standard Python. There is also the sqlite3 module, which provides a lightweight disk-based relational database. Support for most relational databases is available. See the DatabaseProgramming wiki page for details."
84,How do you implement persistent objects in Python?,"The pickle library module solves this in a very general way (though you still can??t store things like open files, sockets or windows), and the shelve library module uses pickle and (g)dbm to create persistent mappings containing arbitrary Python objects. Mathematics and Numerics"
85,How do I generate random numbers in Python?,"The standard module random implements a random number generator. Usage is simple: import random random.random() This returns a random floating-point number in the range [0, 1). There are also many other specialized generators in this module, such as: randrange(a, b) chooses an integer in the range [a, b). uniform(a, b) chooses a floating-point number in the range [a, b). normalvariate(mean, sdev) samples the normal (Gaussian) distribution. Some higher-level functions operate on sequences directly, such as: choice(S) chooses a random element from a given sequence. shuffle(L) shuffles a list in-place, i.e. permutes it randomly. There??s also a Random class you can instantiate to create independent multiple random number generators."
86,"Is there a source code level debugger with breakpoints, single-stepping, etc.?","Yes. Several debuggers for Python are described below, and the built-in function breakpoint() allows you to drop into any of them. The pdb module is a simple but adequate console-mode debugger for Python. It is part of the standard Python library, and is documented in the Library Reference Manual. You can also write your own debugger by using the code for pdb as an example. The IDLE interactive development environment, which is part of the standard Python distribution (normally available as Tools/scripts/idle3), includes a graphical debugger. PythonWin is a Python IDE that includes a GUI debugger based on pdb. The PythonWin debugger colors breakpoints and has quite a few cool features such as debugging non-PythonWin programs. PythonWin is available as part of pywin32 project and as a part of the ActivePython distribution. Eric is an IDE built on PyQt and the Scintilla editing component. trepan3k is a gdb-like debugger. Visual Studio Code is an IDE with debugging tools that integrates with version-control software. There are a number of commercial Python IDEs that include graphical debuggers. They include: Wing IDE Komodo IDE PyCharm Are there tools to help find bugs or perform static analysis? Yes. Pylint and Pyflakes do basic checking that will help you catch bugs sooner. Static type checkers such as Mypy, Pyre, and Pytype can check type hints in Python source code."
87,How can I create a stand-alone binary from a Python script?,"You don??t need the ability to compile Python to C code if all you want is a stand-alone program that users can download and run without having to install the Python distribution first. There are a number of tools that determine the set of modules required by a program and bind these modules together with a Python binary to produce a single executable. One is to use the freeze tool, which is included in the Python source tree as Tools/freeze. It converts Python byte code to C arrays; with a C compiler you can embed all your modules into a new program, which is then linked with the standard Python modules. It works by scanning your source recursively for import statements (in both forms) and looking for the modules in the standard Python path as well as in the source directory (for built-in modules). It then turns the bytecode for modules written in Python into C code (array initializers that can be turned into code objects using the marshal module) and creates a custom-made config file that only contains those built-in modules which are actually used in the program. It then compiles the generated C code and links it with the rest of the Python interpreter to form a self-contained binary which acts exactly like your script. The following packages can help with the creation of console and GUI executables: Nuitka (Cross-platform) PyInstaller (Cross-platform) PyOxidizer (Cross-platform) cx_Freeze (Cross-platform) py2app (macOS only) py2exe (Windows only) Are there coding standards or a style guide for Python programs? Yes. The coding style required for standard library modules is documented as PEP 8. Core Language"
88,Why am I getting an UnboundLocalError when the variable has a value?,"It can be a surprise to get the UnboundLocalError in previously working code when it is modified by adding an assignment statement somewhere in the body of a function. This code: x = 10 def bar(): print(x) bar() 10 works, but this code: x = 10 def foo(): print(x) x += 1 results in an UnboundLocalError: foo() Traceback (most recent call last): ... UnboundLocalError: local variable 'x' referenced before assignment This is because when you make an assignment to a variable in a scope, that variable becomes local to that scope and shadows any similarly named variable in the outer scope. Since the last statement in foo assigns a new value to x, the compiler recognizes it as a local variable. Consequently when the earlier print(x) attempts to print the uninitialized local variable and an error results. In the example above you can access the outer scope variable by declaring it global: x = 10 def foobar(): global x print(x) x += 1 foobar() 10 This explicit declaration is required in order to remind you that (unlike the superficially analogous situation with class and instance variables) you are actually modifying the value of the variable in the outer scope: print(x) 11 You can do a similar thing in a nested scope using the nonlocal keyword: def foo(): x = 10 def bar(): nonlocal x print(x) x += 1 bar() print(x) foo() 10 11"
89,What are the rules for local and global variables in Python?,"In Python, variables that are only referenced inside a function are implicitly global. If a variable is assigned a value anywhere within the function??s body, it??s assumed to be a local unless explicitly declared as global. Though a bit surprising at first, a moment??s consideration explains this. On one hand, requiring global for assigned variables provides a bar against unintended side-effects. On the other hand, if global was required for all global references, you??d be using global all the time. You??d have to declare as global every reference to a built-in function or to a component of an imported module. This clutter would defeat the usefulness of the global declaration for identifying side-effects."
90,Why do lambdas defined in a loop with different values all return the same result?,"Assume you use a for loop to define a few different lambdas (or even plain functions), e.g.: squares = [] for x in range(5): squares.append(lambda: x**2) This gives you a list that contains 5 lambdas that calculate x**2. You might expect that, when called, they would return, respectively, 0, 1, 4, 9, and 16. However, when you actually try you will see that they all return 16: squares[2]() 16 squares[4]() 16 This happens because x is not local to the lambdas, but is defined in the outer scope, and it is accessed when the lambda is called ?? not when it is defined. At the end of the loop, the value of x is 4, so all the functions now return 4**2, i.e. 16. You can also verify this by changing the value of x and see how the results of the lambdas change: x = 8 squares[2]() 64 In order to avoid this, you need to save the values in variables local to the lambdas, so that they don??t rely on the value of the global x: squares = [] for x in range(5): squares.append(lambda n=x: n**2) Here, n=x creates a new variable n local to the lambda and computed when the lambda is defined so that it has the same value that x had at that point in the loop. This means that the value of n will be 0 in the first lambda, 1 in the second, 2 in the third, and so on. Therefore each lambda will now return the correct result: squares[2]() 4 squares[4]() 16 Note that this behaviour is not peculiar to lambdas, but applies to regular functions too."
91,How do I share global variables across modules?,"The canonical way to share information across modules within a single program is to create a special module (often called config or cfg). Just import the config module in all modules of your application; the module then becomes available as a global name. Because there is only one instance of each module, any changes made to the module object get reflected everywhere. For example: config.py: x = 0   # Default value of the 'x' configuration setting mod.py: import config config.x = 1 main.py: import config import mod print(config.x) Note that using a module is also the basis for implementing the singleton design pattern, for the same reason."
